1576080345639 2019_12_11_10_05_45_639 2.734449 0.478300  0.000014786
2019_12_11_10_05_48_397 1576080348397 2758 2752 268 131.981  
2019_12_11_10_05_48_401 1576080348401 2762 2755 721 355.275  
2019_12_11_10_05_48_426 1576080348426 2787 2780 415 203.775  
2019_12_11_10_05_48_451 1576080348451 2812 2805 289 142.198  
2019_12_11_10_05_48_464 1576080348464 2825 2818 188 93.1774  
2019_12_11_10_05_48_534 1576080348534 2895 2888 745 367.274  
2019_12_11_10_05_48_536 1576080348536 2897 2890 278 136.845  
2019_12_11_10_05_48_603 1576080348603 2964 2957 354 173.906  
2019_12_11_10_05_48_611 1576080348611 2972 2965 218 107.707  
2019_12_11_10_05_48_612 1576080348612 2973 2966 377 185.155  
2019_12_11_10_05_48_633 1576080348633 2994 2987 354 173.906  
2019_12_11_10_05_48_682 1576080348682 3043 3036 249 122.748  
2019_12_11_10_05_48_685 1576080348685 3046 3039 266 131.008  
2019_12_11_10_05_48_753 1576080348753 3114 3107 602 296.029  
2019_12_11_10_05_48_780 1576080348780 3141 3134 224 110.616  
2019_12_11_10_05_48_805 1576080348805 3166 3159 85 43.4968  
2019_12_11_10_05_48_821 1576080348821 3182 3175 338 166.089  
2019_12_11_10_05_48_835 1576080348835 3196 3189 1460 732.57  
2019_12_11_10_05_48_842 1576080348842 3203 3195 284 139.764  
2019_12_11_10_05_48_888 1576080348888 3249 3241 247 121.777  
2019_12_11_10_05_48_896 1576080348896 3257 3249 241 118.864  
2019_12_11_10_05_48_906 1576080348906 3267 3259 714 351.778  
2019_12_11_10_05_48_929 1576080348929 3290 3282 220 108.676  
2019_12_11_10_05_48_938 1576080348938 3299 3291 641 315.4  
2019_12_11_10_05_48_975 1576080348975 3336 3328 313 153.891  
2019_12_11_10_05_48_994 1576080348994 3355 3347 535 262.857  
2019_12_11_10_05_49_071 1576080349071 3432 3424 216 106.737  
2019_12_11_10_05_49_105 1576080349105 3466 3458 1441 722.667  
2019_12_11_10_05_49_123 1576080349123 3484 3476 217 107.222  
2019_12_11_10_05_49_139 1576080349139 3500 3492 323 158.768  
2019_12_11_10_05_49_214 1576080349214 3575 3567 86 43.9776  
2019_12_11_10_05_49_241 1576080349241 3602 3594 158 78.675  
2019_12_11_10_05_49_245 1576080349245 3606 3598 342 168.042  
2019_12_11_10_05_49_284 1576080349284 3645 3637 190 94.1452  
2019_12_11_10_05_49_314 1576080349314 3675 3667 194 96.0811  
2019_12_11_10_05_49_328 1576080349328 3689 3680 362 177.817  
2019_12_11_10_05_49_329 1576080349329 3690 3681 1336 668.134  
2019_12_11_10_05_49_332 1576080349332 3693 3684 333 163.648  
2019_12_11_10_05_49_374 1576080349374 3735 3726 397 194.95  
2019_12_11_10_05_49_452 1576080349452 3813 3804 1271 634.539  
2019_12_11_10_05_49_457 1576080349457 3818 3809 181 89.7911  
2019_12_11_10_05_49_504 1576080349504 3865 3856 734 361.773  
2019_12_11_10_05_49_541 1576080349541 3902 3893 115 57.9345  
2019_12_11_10_05_49_541 1576080349541 3902 3893 1377 689.389  
2019_12_11_10_05_49_594 1576080349594 3955 3946 4095 2209.31  
2019_12_11_10_05_49_624 1576080349624 3985 3976 507 249.033  
2019_12_11_10_05_49_649 1576080349649 4010 4001 330 162.184  
2019_12_11_10_05_49_668 1576080349668 4029 4020 451 221.455  
2019_12_11_10_05_49_729 1576080349729 4090 4081 259 127.606  
2019_12_11_10_05_49_755 1576080349755 4116 4107 1322 660.888  
2019_12_11_10_05_49_761 1576080349761 4122 4113 352 172.928  
2019_12_11_10_05_49_787 1576080349787 4148 4139 2742 1425.4  
2019_12_11_10_05_49_789 1576080349789 4150 4140 361 177.328  
2019_12_11_10_05_49_802 1576080349802 4163 4153 251 123.719  
2019_12_11_10_05_49_840 1576080349840 4201 4191 163 81.0902  
2019_12_11_10_05_49_847 1576080349847 4208 4198 3862 2070.46  
2019_12_11_10_05_49_856 1576080349856 4217 4207 4095 2209.31  
2019_12_11_10_05_49_889 1576080349889 4250 4240 1232 614.442  
2019_12_11_10_05_49_898 1576080349898 4259 4249 236 116.437  
2019_12_11_10_05_49_914 1576080349914 4275 4265 128 64.1991  
2019_12_11_10_05_49_927 1576080349927 4288 4278 282 138.791  
2019_12_11_10_05_49_938 1576080349938 4299 4289 213 105.283  
2019_12_11_10_05_49_968 1576080349968 4329 4319 190 94.1452  
2019_12_11_10_05_50_009 1576080350009 4370 4360 302 148.53  
2019_12_11_10_05_50_036 1576080350036 4397 4387 1298 648.479  
2019_12_11_10_05_50_306 1576080350306 4667 4657 461 226.373  
2019_12_11_10_05_50_307 1576080350307 4668 4658 509 250.02  
2019_12_11_10_05_50_308 1576080350308 4669 4659 832 410.915  
2019_12_11_10_05_50_308 1576080350308 4669 4659 315 154.866  
2019_12_11_10_05_50_308 1576080350308 4669 4659 150 74.8121  
2019_12_11_10_05_50_308 1576080350308 4669 4658 165 82.0565  
2019_12_11_10_05_50_308 1576080350308 4669 4658 2840 1480.36  
2019_12_11_10_05_50_382 1576080350382 4743 4732 198 98.0175  
2019_12_11_10_05_50_405 1576080350405 4766 4755 508 249.527  
2019_12_11_10_05_50_417 1576080350417 4778 4767 524 257.423  
2019_12_11_10_05_50_421 1576080350421 4782 4771 231 114.011  
2019_12_11_10_05_50_434 1576080350434 4795 4784 1641 827.441  
2019_12_11_10_05_50_459 1576080350459 4820 4809 1610 811.123  
2019_12_11_10_05_50_495 1576080350495 4856 4845 933 461.859  
2019_12_11_10_05_50_501 1576080350501 4862 4851 419 205.738  
2019_12_11_10_05_50_583 1576080350583 4944 4933 169 83.9894  
2019_12_11_10_05_50_662 1576080350662 5023 5012 315 154.866  
2019_12_11_10_05_50_704 1576080350704 5065 5054 744 366.774  
2019_12_11_10_05_50_729 1576080350729 5090 5079 355 174.394  
2019_12_11_10_05_50_730 1576080350730 5091 5080 305 149.991  
2019_12_11_10_05_50_746 1576080350746 5107 5096 327 160.72  
2019_12_11_10_05_50_862 1576080350862 5223 5212 621 305.461  
2019_12_11_10_05_50_863 1576080350863 5224 5212 1708 862.805  
2019_12_11_10_05_50_866 1576080350866 5227 5215 500 245.581  
2019_12_11_10_05_50_873 1576080350873 5234 5222 167 83.0229  
2019_12_11_10_05_50_876 1576080350876 5237 5225 1300 649.512  
2019_12_11_10_05_50_896 1576080350896 5257 5245 168 83.5062  
2019_12_11_10_05_50_913 1576080350913 5274 5262 1855 940.859  
2019_12_11_10_05_50_936 1576080350936 5297 5285 107 54.0818  
2019_12_11_10_05_50_957 1576080350957 5318 5306 214 105.768  
2019_12_11_10_05_50_998 1576080350998 5359 5347 689 339.302  
2019_12_11_10_05_51_030 1576080351030 5391 5379 706 347.784  
2019_12_11_10_05_51_041 1576080351041 5402 5390 599 294.541  
2019_12_11_10_05_51_069 1576080351069 5430 5418 155 77.2262  
2019_12_11_10_05_51_104 1576080351104 5465 5453 791 390.321  
2019_12_11_10_05_51_144 1576080351144 5505 5493 338 166.089  
2019_12_11_10_05_51_185 1576080351185 5546 5534 290 142.685  
2019_12_11_10_05_51_190 1576080351190 5551 5539 181 89.7911  
2019_12_11_10_05_51_203 1576080351203 5564 5552 235 115.951  
2019_12_11_10_05_51_254 1576080351254 5615 5602 636 312.914  
2019_12_11_10_05_51_342 1576080351342 5703 5690 113 56.9711  
2019_12_11_10_05_51_365 1576080351365 5726 5713 337 165.601  
2019_12_11_10_05_51_408 1576080351408 5769 5756 235 115.951  
2019_12_11_10_05_51_463 1576080351463 5824 5811 973 482.118  
2019_12_11_10_05_51_488 1576080351488 5849 5836 371 182.219  
2019_12_11_10_05_51_513 1576080351513 5874 5861 1405 703.933  
2019_12_11_10_05_51_540 1576080351540 5901 5888 273 134.412  
2019_12_11_10_05_51_546 1576080351546 5907 5894 1347 673.832  
2019_12_11_10_05_51_578 1576080351578 5939 5926 1262 629.897  
2019_12_11_10_05_51_616 1576080351616 5977 5964 142 70.9512  
2019_12_11_10_05_51_622 1576080351622 5983 5970 302 148.53  
2019_12_11_10_05_51_627 1576080351627 5988 5975 451 221.455  
2019_12_11_10_05_51_634 1576080351634 5995 5982 162 80.6071  
2019_12_11_10_05_51_640 1576080351640 6001 5988 133 66.6099  
2019_12_11_10_05_51_641 1576080351641 6002 5989 569 279.674  
2019_12_11_10_05_51_644 1576080351644 6005 5992 514 252.487  
2019_12_11_10_05_51_663 1576080351663 6024 6010 259 127.606  
2019_12_11_10_05_51_671 1576080351671 6032 6018 1317 658.301  
2019_12_11_10_05_51_679 1576080351679 6040 6026 379 186.134  
2019_12_11_10_05_51_701 1576080351701 6062 6048 733 361.273  
2019_12_11_10_05_51_720 1576080351720 6081 6067 2410 1241.31  
2019_12_11_10_05_51_721 1576080351721 6082 6068 494 242.623  
2019_12_11_10_05_51_793 1576080351793 6154 6140 192 95.1131  
2019_12_11_10_05_51_825 1576080351825 6186 6172 223 110.131  
2019_12_11_10_05_51_870 1576080351870 6231 6217 4095 2209.31  
2019_12_11_10_05_51_875 1576080351875 6236 6222 1723 870.74  
2019_12_11_10_05_51_995 1576080351995 6356 6342 1229 612.898  
2019_12_11_10_05_52_091 1576080352091 6452 6438 183 90.7585  
2019_12_11_10_05_52_354 1576080352354 6715 6701 144 71.9162  
2019_12_11_10_05_52_355 1576080352355 6716 6702 793 391.324  
2019_12_11_10_05_52_356 1576080352356 6717 6703 176 87.3733  
2019_12_11_10_05_52_356 1576080352356 6717 6703 489 240.159  
2019_12_11_10_05_52_356 1576080352356 6717 6703 407 199.852  
2019_12_11_10_05_52_356 1576080352356 6717 6702 213 105.283  
2019_12_11_10_05_52_358 1576080352358 6719 6704 396 194.46  
2019_12_11_10_05_52_389 1576080352389 6750 6735 330 162.184  
2019_12_11_10_05_52_417 1576080352417 6778 6763 146 72.8814  
2019_12_11_10_05_52_465 1576080352465 6826 6811 461 226.373  
2019_12_11_10_05_52_473 1576080352473 6834 6819 1242 619.591  
2019_12_11_10_05_52_482 1576080352482 6843 6828 794 391.826  
2019_12_11_10_05_52_485 1576080352485 6846 6831 669 329.335  
2019_12_11_10_05_52_487 1576080352487 6848 6833 166 82.5397  
2019_12_11_10_05_52_490 1576080352490 6851 6836 683 336.311  
2019_12_11_10_05_52_494 1576080352494 6855 6840 851 420.476  
2019_12_11_10_05_52_502 1576080352502 6863 6848 182 90.2748  
2019_12_11_10_05_52_507 1576080352507 6868 6853 532 261.375  
2019_12_11_10_05_52_529 1576080352529 6890 6875 96 48.7875  
2019_12_11_10_05_52_532 1576080352532 6893 6878 244 120.32  
2019_12_11_10_05_52_566 1576080352566 6927 6912 104 52.6376  
2019_12_11_10_05_52_567 1576080352567 6928 6913 1313 656.232  
2019_12_11_10_05_52_602 1576080352602 6963 6948 634 311.92  
2019_12_11_10_05_52_626 1576080352626 6987 6971 127 63.717  
2019_12_11_10_05_52_633 1576080352633 6994 6978 311 152.916  
2019_12_11_10_05_52_635 1576080352635 6996 6980 64 33.4062  
2019_12_11_10_05_52_643 1576080352643 7004 6988 224 110.616  
2019_12_11_10_05_52_646 1576080352646 7007 6991 98 49.7499  
2019_12_11_10_05_52_664 1576080352664 7025 7009 227 112.07  
2019_12_11_10_05_52_682 1576080352682 7043 7027 796 392.83  
2019_12_11_10_05_52_700 1576080352700 7061 7045 198 98.0175  
2019_12_11_10_05_52_741 1576080352741 7102 7086 391 192.01  
2019_12_11_10_05_52_750 1576080352750 7111 7095 1759 889.812  
2019_12_11_10_05_52_751 1576080352751 7112 7096 417 204.757  
2019_12_11_10_05_52_752 1576080352752 7113 7097 136 68.0567  
2019_12_11_10_05_52_788 1576080352788 7149 7133 177 87.8568  
2019_12_11_10_05_52_832 1576080352832 7193 7177 156 77.7091  
2019_12_11_10_05_52_874 1576080352874 7235 7219 178 88.3403  
2019_12_11_10_05_52_878 1576080352878 7239 7223 937 463.883  
2019_12_11_10_05_52_896 1576080352896 7257 7241 580 285.122  
2019_12_11_10_05_52_909 1576080352909 7270 7253 238 117.407  
2019_12_11_10_05_52_967 1576080352967 7328 7311 1296 647.446  
2019_12_11_10_05_52_990 1576080352990 7351 7334 174 86.4063  
2019_12_11_10_05_52_995 1576080352995 7356 7339 242 119.349  
2019_12_11_10_05_52_996 1576080352996 7357 7340 646 317.887  
2019_12_11_10_05_52_997 1576080352997 7358 7341 182 90.2748  
2019_12_11_10_05_53_079 1576080353079 7440 7423 205 101.407  
2019_12_11_10_05_53_080 1576080353080 7441 7424 627 308.441  
2019_12_11_10_05_53_090 1576080353090 7451 7434 261 128.578  
2019_12_11_10_05_53_114 1576080353114 7475 7458 1331 665.546  
2019_12_11_10_05_53_119 1576080353119 7480 7463 512 251.5  
2019_12_11_10_05_53_147 1576080353147 7508 7491 423 207.701  
2019_12_11_10_05_53_159 1576080353159 7520 7503 294 144.633  
2019_12_11_10_05_53_163 1576080353163 7524 7507 282 138.791  
2019_12_11_10_05_53_186 1576080353186 7547 7530 519 254.955  
2019_12_11_10_05_53_213 1576080353213 7574 7557 250 123.234  
2019_12_11_10_05_53_216 1576080353216 7577 7560 542 266.317  
2019_12_11_10_05_53_233 1576080353233 7594 7576 336 165.112  
2019_12_11_10_05_53_237 1576080353237 7598 7580 729 359.273  
2019_12_11_10_05_53_245 1576080353245 7606 7588 159 79.1579  
2019_12_11_10_05_53_248 1576080353248 7609 7591 432 212.119  
2019_12_11_10_05_53_259 1576080353259 7620 7602 4095 2209.31  
2019_12_11_10_05_53_267 1576080353267 7628 7610 425 208.683  
2019_12_11_10_05_53_286 1576080353286 7647 7629 262 129.064  
2019_12_11_10_05_53_300 1576080353300 7661 7643 402 197.4  
2019_12_11_10_05_53_302 1576080353302 7663 7645 286 140.738  
2019_12_11_10_05_53_315 1576080353315 7676 7658 574 282.15  
2019_12_11_10_05_53_324 1576080353324 7685 7667 438 215.066  
2019_12_11_10_05_53_327 1576080353327 7688 7670 68 35.3272  
2019_12_11_10_05_53_334 1576080353334 7695 7677 453 222.439  
2019_12_11_10_05_53_354 1576080353354 7715 7697 425 208.683  
2019_12_11_10_05_53_392 1576080353392 7753 7735 381 187.113  
2019_12_11_10_05_53_398 1576080353398 7759 7741 131 65.6455  
2019_12_11_10_05_53_438 1576080353438 7799 7781 187 92.6936  
2019_12_11_10_05_53_460 1576080353460 7821 7802 1365 683.163  
2019_12_11_10_05_53_512 1576080353512 7873 7854 405 198.871  
2019_12_11_10_05_53_530 1576080353530 7891 7872 1364 682.644  
2019_12_11_10_05_53_541 1576080353541 7902 7883 313 153.891  
2019_12_11_10_05_53_542 1576080353542 7903 7884 290 142.685  
2019_12_11_10_05_53_560 1576080353560 7921 7902 405 198.871  
2019_12_11_10_05_53_574 1576080353574 7935 7916 325 159.744  
2019_12_11_10_05_53_621 1576080353621 7982 7963 406 199.361  
2019_12_11_10_05_53_622 1576080353622 7983 7964 238 117.407  
2019_12_11_10_05_53_667 1576080353667 8028 8009 1296 647.446  
2019_12_11_10_05_53_704 1576080353704 8065 8046 303 149.017  
2019_12_11_10_05_53_734 1576080353734 8095 8076 269 132.467  
2019_12_11_10_05_53_736 1576080353736 8097 8078 707 348.283  
2019_12_11_10_05_53_776 1576080353776 8137 8118 532 261.375  
2019_12_11_10_05_53_796 1576080353796 8157 8138 304 149.504  
2019_12_11_10_05_53_810 1576080353810 8171 8152 203 100.439  
2019_12_11_10_05_53_811 1576080353811 8172 8153 242 119.349  
2019_12_11_10_05_53_825 1576080353825 8186 8166 367 180.262  
2019_12_11_10_05_53_839 1576080353839 8200 8180 182 90.2748  
2019_12_11_10_05_53_841 1576080353841 8202 8182 310 152.428  
2019_12_11_10_05_53_842 1576080353842 8203 8183 594 292.062  
2019_12_11_10_05_53_881 1576080353881 8242 8222 704 346.786  
2019_12_11_10_05_53_882 1576080353882 8243 8223 1095 544.201  
2019_12_11_10_05_53_888 1576080353888 8249 8229 631 310.429  
2019_12_11_10_05_53_895 1576080353895 8256 8236 306 150.479  
2019_12_11_10_05_53_908 1576080353908 8269 8249 288 141.711  
2019_12_11_10_05_53_913 1576080353913 8274 8254 917 453.769  
2019_12_11_10_05_53_929 1576080353929 8290 8270 308 151.453  
2019_12_11_10_05_53_944 1576080353944 8305 8285 446 218.997  
2019_12_11_10_05_53_948 1576080353948 8309 8289 387 190.051  
2019_12_11_10_05_53_984 1576080353984 8345 8325 1289 643.83  
2019_12_11_10_05_54_032 1576080354032 8393 8373 321 157.792  
2019_12_11_10_05_54_048 1576080354048 8409 8389 466 228.833  
2019_12_11_10_05_54_054 1576080354054 8415 8395 1046 519.214  
2019_12_11_10_05_54_068 1576080354068 8429 8409 176 87.3733  
2019_12_11_10_05_54_092 1576080354092 8453 8432 250 123.234  
2019_12_11_10_05_54_102 1576080354102 8463 8442 1372 686.794  
2019_12_11_10_05_54_113 1576080354113 8474 8453 4095 2209.31  
2019_12_11_10_05_54_402 1576080354402 8763 8742 665 327.343  
2019_12_11_10_05_54_403 1576080354403 8764 8743 191 94.6291  
2019_12_11_10_05_54_404 1576080354404 8765 8744 171 84.9561  
2019_12_11_10_05_54_404 1576080354404 8765 8744 262 129.064  
2019_12_11_10_05_54_404 1576080354404 8765 8744 730 359.773  
2019_12_11_10_05_54_404 1576080354404 8765 8744 64 33.4062  
2019_12_11_10_05_54_404 1576080354404 8765 8744 1185 590.282  
2019_12_11_10_05_54_404 1576080354404 8765 8744 284 139.764  
2019_12_11_10_05_54_405 1576080354405 8766 8745 756 372.78  
2019_12_11_10_05_54_405 1576080354405 8766 8745 168 83.5062  
2019_12_11_10_05_54_405 1576080354405 8766 8745 281 138.304  
2019_12_11_10_05_54_405 1576080354405 8766 8745 333 163.648  
2019_12_11_10_05_54_405 1576080354405 8766 8745 771 380.293  
2019_12_11_10_05_54_405 1576080354405 8766 8745 203 100.439  
2019_12_11_10_05_54_405 1576080354405 8766 8744 362 177.817  
2019_12_11_10_05_54_405 1576080354405 8766 8744 214 105.768  
2019_12_11_10_05_54_443 1576080354443 8804 8782 513 251.993  
2019_12_11_10_05_54_461 1576080354461 8822 8800 162 80.6071  
2019_12_11_10_05_54_474 1576080354474 8835 8813 407 199.852  
2019_12_11_10_05_54_565 1576080354565 8926 8904 1374 687.832  
2019_12_11_10_05_54_573 1576080354573 8934 8912 655 322.364  
2019_12_11_10_05_54_588 1576080354588 8949 8927 1136 565.164  
2019_12_11_10_05_54_619 1576080354619 8980 8958 1327 663.475  
2019_12_11_10_05_54_621 1576080354621 8982 8960 199 98.5017  
2019_12_11_10_05_54_630 1576080354630 8991 8969 378 185.644  
2019_12_11_10_05_54_670 1576080354670 9031 9009 192 95.1131  
2019_12_11_10_05_54_687 1576080354687 9048 9026 153 76.2605  
2019_12_11_10_05_54_693 1576080354693 9054 9032 187 92.6936  
2019_12_11_10_05_54_708 1576080354708 9069 9047 297 146.094  
2019_12_11_10_05_54_734 1576080354734 9095 9073 252 124.205  
2019_12_11_10_05_54_735 1576080354735 9096 9074 164 81.5733  
2019_12_11_10_05_54_738 1576080354738 9099 9076 467 229.325  
2019_12_11_10_05_54_746 1576080354746 9107 9084 338 166.089  
2019_12_11_10_05_54_787 1576080354787 9148 9125 490 240.651  
2019_12_11_10_05_54_800 1576080354800 9161 9138 1361 681.089  
2019_12_11_10_05_54_838 1576080354838 9199 9176 473 232.278  
2019_12_11_10_05_54_860 1576080354860 9221 9198 539 264.834  
2019_12_11_10_05_54_866 1576080354866 9227 9204 1297 647.962  
2019_12_11_10_05_54_868 1576080354868 9229 9206 791 390.321  
2019_12_11_10_05_54_888 1576080354888 9249 9226 1358 679.533  
2019_12_11_10_05_54_890 1576080354890 9251 9228 335 164.624  
2019_12_11_10_05_54_908 1576080354908 9269 9246 138 69.0214  
2019_12_11_10_05_54_954 1576080354954 9315 9292 546 268.294  
2019_12_11_10_05_54_956 1576080354956 9317 9294 568 279.179  
2019_12_11_10_05_55_014 1576080355014 9375 9352 202 99.9544  
2019_12_11_10_05_55_030 1576080355030 9391 9368 88 44.9393  
2019_12_11_10_05_55_044 1576080355044 9405 9382 300 147.555  
2019_12_11_10_05_55_057 1576080355057 9418 9395 231 114.011  
2019_12_11_10_05_55_072 1576080355072 9433 9409 1334 667.099  
2019_12_11_10_05_55_077 1576080355077 9438 9414 3202 1685.85  
2019_12_11_10_05_55_092 1576080355092 9453 9429 682 335.812  
2019_12_11_10_05_55_111 1576080355111 9472 9448 252 124.205  
2019_12_11_10_05_55_112 1576080355112 9473 9449 1154 574.383  
2019_12_11_10_05_55_153 1576080355153 9514 9490 945 467.932  
2019_12_11_10_05_55_243 1576080355243 9604 9580 1363 682.126  
2019_12_11_10_05_55_246 1576080355246 9607 9583 86 43.9776  
2019_12_11_10_05_55_257 1576080355257 9618 9594 463 227.357  
2019_12_11_10_05_55_279 1576080355279 9640 9616 493 242.13  
2019_12_11_10_05_55_292 1576080355292 9653 9629 3245 1710.51  
